Sample;Pres_A;Pres_B;Treatment;MeasurementOrder
A_A-B_repl1_062_Spec.Data 1 112.spc;YES;NO;P;1
A_A-B_repl1_063_Spec.Data 1 113.spc;YES;NO;P;2
A_A-B_repl1_064_Spec.Data 1 114.spc;YES;NO;P;3
A_A-B_repl1_065_Spec.Data 1 115.spc;YES;NO;P;4
A_A-B_repl1_066_Spec.Data 1 116.spc;YES;NO;P;5
A_A-B_repl1_067_Spec.Data 1 117.spc;YES;NO;P;6
A_A-B_repl1_069_Spec.Data 1 118.spc;YES;NO;P;7
A_A-B_repl1_070_Spec.Data 1 119.spc;YES;NO;P;8
A_A-B_repl1_071_Spec.Data 1 120.spc;YES;NO;P;9
A_A-B_repl1_072_Spec.Data 1 121.spc;YES;NO;P;10
A_A-B_repl1_073_Spec.Data 1 122.spc;YES;NO;P;11
A_A-B_repl1_074_Spec.Data 1 123.spc;YES;NO;P;12
A_A-B_repl1_075_Spec.Data 1 124.spc;YES;NO;P;13
A_A-B_repl1_077_Spec.Data 1 125.spc;YES;NO;P;14
A_A-B_repl1_078_Spec.Data 1 126.spc;YES;NO;P;15
A_A-B_repl1_079_Spec.Data 1 127.spc;YES;NO;P;16
A_A-B_repl1_080_Spec.Data 1 128.spc;YES;NO;P;17
A_A-B_repl1_081_Spec.Data 1 129.spc;YES;NO;P;18
A_A-B_repl1_082_Spec.Data 1 130.spc;YES;NO;P;19
A_A-B_repl1_083_Spec.Data 1 131.spc;YES;NO;P;20
A_A-B_repl1_084_Spec.Data 1 132.spc;YES;NO;P;21
A_A-B_repl1_085_Spec.Data 1 133.spc;YES;NO;P;22
A_A-B_repl1_087_Spec.Data 1 134.spc;YES;NO;P;23
A_A-B_repl1_088_Spec.Data 1 135.spc;YES;NO;P;24
A_A-B_repl1_089_Spec.Data 1 136.spc;YES;NO;P;25
A_A-B_repl1_090_Spec.Data 1 137.spc;YES;NO;P;26
A_A-B_repl1_091_Spec.Data 1 138.spc;YES;NO;P;27
A_A-B_repl1_092_Spec.Data 1 139.spc;YES;NO;P;28
A_A-B_repl1_093_Spec.Data 1 140.spc;YES;NO;P;29
A_A-B_repl1_094_Spec.Data 1 141.spc;YES;NO;P;30
A_A-B_repl1_095_Spec.Data 1 142.spc;YES;NO;P;31
A_A-B_repl1_096_Spec.Data 1 143.spc;YES;NO;P;32
A_A-B_repl1_097_Spec.Data 1 144.spc;YES;NO;P;33
A_A-B_repl1_098_Spec.Data 1 145.spc;YES;NO;P;34
A_A-B_repl1_099_Spec.Data 1 146.spc;YES;NO;P;35
A_A-B_repl1_100_Spec.Data 1 147.spc;YES;NO;P;36
A_A-B_repl1_101_Spec.Data 1 148.spc;YES;NO;P;37
A_A-B_repl1_102_Spec.Data 1 149.spc;YES;NO;P;38
A_A-B_repl1_103_Spec.Data 1 150.spc;YES;NO;P;39
A_A-B_repl1_104_Spec.Data 1 151.spc;YES;NO;P;40
A_A-B_repl1_105_Spec.Data 1 152.spc;YES;NO;P;41
A_A-B_repl1_106_Spec.Data 1 153.spc;YES;NO;P;42
A_A-B_repl1_107_Spec.Data 1 154.spc;YES;NO;P;43
A_A-B_repl1_108_Spec.Data 1 155.spc;YES;NO;P;44
A_A-B_repl1_109_Spec.Data 1 156.spc;YES;NO;P;45
A_A-B_repl1_110_Spec.Data 1 157.spc;YES;NO;P;46
A_A-B_repl1_111_Spec.Data 1 158.spc;YES;NO;P;47
A_A-B_repl1_112_Spec.Data 1 159.spc;YES;NO;P;48
A_A-B_repl1_114_Spec.Data 1 160.spc;YES;NO;P;49
A_A-B_repl1_115_Spec.Data 1 161.spc;YES;NO;P;50
A_A-B_repl1_116_Spec.Data 1 162.spc;YES;NO;P;51
A_A-B_repl1_117_Spec.Data 1 163.spc;YES;NO;P;52
A_A-fresh_repl1_002_Spec.Data 1 001.spc;YES;NO;fresh medium;1
A_A-fresh_repl1_003_Spec.Data 1 002.spc;YES;NO;fresh medium;2
A_A-fresh_repl1_004_Spec.Data 1 003.spc;YES;NO;fresh medium;3
A_A-fresh_repl1_005_Spec.Data 1 004.spc;YES;NO;fresh medium;4
A_A-fresh_repl1_006_Spec.Data 1 005.spc;YES;NO;fresh medium;5
A_A-fresh_repl1_007_Spec.Data 1 006.spc;YES;NO;fresh medium;6
A_A-fresh_repl1_008_Spec.Data 1 007.spc;YES;NO;fresh medium;7
A_A-fresh_repl1_009_Spec.Data 1 008.spc;YES;NO;fresh medium;8
A_A-fresh_repl1_010_Spec.Data 1 009.spc;YES;NO;fresh medium;9
A_A-fresh_repl1_011_Spec.Data 1 010.spc;YES;NO;fresh medium;10
A_A-fresh_repl1_012_Spec.Data 1 011.spc;YES;NO;fresh medium;11
A_A-fresh_repl1_013_Spec.Data 1 012.spc;YES;NO;fresh medium;12
A_A-fresh_repl1_014_Spec.Data 1 013.spc;YES;NO;fresh medium;13
A_A-fresh_repl1_015_Spec.Data 1 014.spc;YES;NO;fresh medium;14
A_A-fresh_repl1_016_Spec.Data 1 015.spc;YES;NO;fresh medium;15
A_A-fresh_repl1_017_Spec.Data 1 016.spc;YES;NO;fresh medium;16
A_A-fresh_repl1_018_Spec.Data 1 017.spc;YES;NO;fresh medium;17
A_A-fresh_repl1_019_Spec.Data 1 018.spc;YES;NO;fresh medium;18
A_A-fresh_repl1_020_Spec.Data 1 019.spc;YES;NO;fresh medium;19
A_A-fresh_repl1_021_Spec.Data 1 020.spc;YES;NO;fresh medium;20
A_A-fresh_repl1_022_Spec.Data 1 021.spc;YES;NO;fresh medium;21
A_A-fresh_repl1_023_Spec.Data 1 022.spc;YES;NO;fresh medium;22
A_A-fresh_repl1_024_Spec.Data 1 023.spc;YES;NO;fresh medium;23
A_A-fresh_repl1_025_Spec.Data 1 024.spc;YES;NO;fresh medium;24
A_A-fresh_repl1_026_Spec.Data 1 025.spc;YES;NO;fresh medium;25
A_A-fresh_repl1_027_Spec.Data 1 026.spc;YES;NO;fresh medium;26
A_A-fresh_repl1_028_Spec.Data 1 027.spc;YES;NO;fresh medium;27
A_A-fresh_repl1_029_Spec.Data 1 028.spc;YES;NO;fresh medium;28
A_A-fresh_repl1_030_Spec.Data 1 029.spc;YES;NO;fresh medium;29
A_A-fresh_repl1_031_Spec.Data 1 030.spc;YES;NO;fresh medium;30
A_A-fresh_repl1_032_Spec.Data 1 031.spc;YES;NO;fresh medium;31
A_A-fresh_repl1_034_Spec.Data 1 032.spc;YES;NO;fresh medium;32
A_A-fresh_repl1_035_Spec.Data 1 033.spc;YES;NO;fresh medium;33
A_A-fresh_repl1_036_Spec.Data 1 034.spc;YES;NO;fresh medium;34
A_A-fresh_repl1_038_Spec.Data 1 035.spc;YES;NO;fresh medium;35
A_A-fresh_repl1_039_Spec.Data 1 036.spc;YES;NO;fresh medium;36
A_A-fresh_repl1_040_Spec.Data 1 037.spc;YES;NO;fresh medium;37
A_A-fresh_repl1_041_Spec.Data 1 038.spc;YES;NO;fresh medium;38
A_A-fresh_repl1_042_Spec.Data 1 039.spc;YES;NO;fresh medium;39
